,Cost,interations
0,8,0
1,8,1
2,8,2
3,8,3
4,8,4
5,7,5
6,8,6
7,7,7
8,8,8
9,8,9
10,8,10
11,7,11
12,8,12
13,8,13
14,6,14
15,7,15
16,7,16
17,8,17
18,8,18
19,8,19
20,6,20
21,8,21
22,6,22
23,7,23
24,6,24
25,8,25
26,7,26
27,6,27
28,7,28
29,8,29
30,8,30
31,8,31
32,8,32
33,8,33
34,6,34
35,7,35
36,8,36
37,5,37
38,6,38
39,6,39
40,7,40
41,7,41
42,7,42
43,5,43
44,7,44
45,7,45
46,8,46
47,8,47
48,8,48
49,6,49
50,8,50
51,8,51
52,6,52
53,8,53
54,8,54
55,7,55
56,8,56
57,8,57
58,8,58
59,8,59
60,7,60
61,8,61
62,6,62
63,7,63
64,8,64
65,5,65
66,6,66
67,6,67
68,8,68
69,7,69
70,5,70
71,7,71
72,6,72
73,6,73
74,7,74
75,7,75
76,5,76
77,6,77
78,5,78
79,8,79
80,6,80
81,7,81
82,4,82
83,8,83
84,6,84
85,7,85
86,7,86
87,7,87
88,6,88
89,8,89
90,8,90
91,8,91
92,7,92
93,8,93
94,8,94
95,8,95
96,6,96
97,7,97
98,8,98
99,8,99
100,7,100
101,6,101
102,8,102
103,6,103
104,5,104
105,8,105
106,8,106
107,8,107
108,6,108
109,8,109
110,8,110
111,8,111
112,8,112
113,7,113
114,8,114
115,7,115
116,7,116
117,5,117
118,5,118
119,7,119
120,4,120
121,7,121
122,6,122
123,7,123
124,7,124
125,5,125
126,7,126
127,6,127
128,7,128
129,6,129
130,4,130
131,7,131
132,6,132
133,6,133
134,7,134
135,7,135
136,7,136
137,7,137
138,7,138
139,8,139
140,7,140
141,5,141
142,6,142
143,8,143
144,7,144
145,5,145
146,5,146
147,6,147
148,7,148
149,8,149
150,7,150
151,8,151
152,4,152
153,6,153
154,6,154
155,7,155
156,7,156
157,3,157
158,8,158
159,5,159
160,8,160
161,8,161
162,7,162
163,6,163
164,8,164
165,6,165
166,8,166
167,6,167
168,8,168
169,6,169
170,8,170
171,5,171
172,5,172
173,8,173
174,8,174
175,8,175
176,6,176
177,7,177
178,6,178
179,7,179
180,8,180
181,4,181
182,7,182
183,6,183
184,7,184
185,4,185
186,7,186
187,6,187
188,4,188
189,7,189
190,5,190
191,5,191
192,8,192
193,5,193
194,8,194
195,7,195
196,5,196
197,7,197
198,8,198
199,7,199
200,7,200
201,6,201
202,4,202
203,6,203
204,8,204
205,7,205
206,8,206
207,5,207
208,6,208
209,6,209
210,5,210
211,7,211
212,7,212
213,4,213
214,6,214
215,7,215
216,7,216
217,7,217
218,8,218
219,5,219
220,7,220
221,8,221
222,8,222
223,7,223
224,3,224
225,8,225
226,7,226
227,6,227
228,6,228
229,6,229
230,6,230
231,6,231
232,6,232
233,4,233
234,8,234
235,8,235
236,6,236
237,6,237
238,8,238
239,6,239
240,8,240
241,5,241
242,5,242
243,6,243
244,6,244
245,6,245
246,7,246
247,8,247
248,7,248
249,8,249
250,8,250
251,7,251
252,3,252
253,5,253
254,7,254
255,7,255
256,8,256
257,6,257
258,8,258
259,6,259
260,7,260
261,4,261
262,8,262
263,2,263
264,8,264
265,7,265
266,7,266
267,6,267
268,8,268
269,6,269
270,6,270
271,8,271
272,7,272
273,4,273
274,8,274
275,7,275
276,8,276
277,8,277
278,8,278
279,8,279
280,7,280
281,6,281
282,6,282
283,5,283
284,5,284
285,8,285
286,8,286
287,8,287
288,7,288
289,8,289
290,6,290
291,5,291
292,5,292
293,5,293
294,8,294
295,7,295
296,8,296
297,5,297
298,7,298
299,7,299
300,5,300
301,6,301
302,6,302
303,8,303
304,7,304
305,7,305
306,7,306
307,7,307
308,6,308
309,7,309
310,5,310
311,6,311
312,7,312
313,8,313
314,4,314
315,6,315
316,3,316
317,7,317
318,7,318
319,8,319
320,6,320
321,3,321
322,5,322
323,5,323
324,7,324
325,5,325
326,7,326
327,7,327
328,6,328
329,8,329
330,5,330
331,5,331
332,7,332
333,7,333
334,8,334
335,6,335
336,8,336
337,8,337
338,4,338
339,8,339
340,7,340
341,7,341
342,7,342
343,8,343
344,8,344
345,8,345
346,6,346
347,7,347
348,4,348
349,8,349
350,6,350
351,7,351
352,6,352
353,5,353
354,8,354
355,6,355
356,5,356
357,7,357
358,5,358
359,7,359
360,6,360
361,8,361
362,8,362
363,8,363
364,8,364
365,3,365
366,8,366
367,6,367
368,8,368
369,6,369
370,7,370
371,6,371
372,3,372
373,8,373
374,7,374
375,7,375
376,1,376
377,8,377
378,7,378
379,8,379
380,7,380
381,7,381
382,6,382
383,7,383
384,6,384
385,6,385
386,6,386
387,6,387
388,8,388
389,8,389
390,7,390
391,8,391
392,8,392
393,8,393
394,5,394
395,4,395
396,8,396
397,6,397
398,5,398
399,4,399
400,6,400
401,8,401
402,7,402
403,5,403
404,7,404
405,7,405
406,8,406
407,8,407
408,6,408
409,5,409
410,6,410
411,7,411
412,7,412
413,8,413
414,8,414
415,7,415
416,6,416
417,7,417
418,7,418
419,7,419
420,6,420
421,7,421
422,8,422
423,7,423
424,7,424
425,6,425
426,6,426
427,7,427
428,8,428
429,7,429
430,8,430
431,8,431
432,8,432
433,8,433
434,4,434
435,7,435
436,5,436
437,7,437
438,8,438
439,6,439
440,7,440
